target_id,side,error_x,error_y,error_z,total_error
T1,Left,0.020548046676563275,0.11145502331533659,0.27697360471918264,0.10761722249103577
T2,Left,0.18832595855767378,0.47218169760755824,0.4010264607506869,0.16010120156922106
T3L,Left,0.22065558884580486,0.046427960923947055,0.07886751345948129,0.14059536611036202
T3R,Right,0.08286535263104036,0.06944222218666554,0.2642159792993899,0.23291735941796435
T4,Right,0.3101612483854164,0.369353790047188,0.2746809552183846,0.4134258891565105
T5,Right,0.17441967269268172,0.5892933621437345,0.5564120308758932,0.8191311396989249
