target_id,error_x_mean,error_x_std,error_x_median,error_x_min,error_x_max,error_x_count,error_y_mean,error_y_std,error_y_median,error_y_min,error_y_max,error_y_count,error_z_mean,error_z_std,error_z_median,error_z_min,error_z_max,error_z_count,total_error_mean,total_error_std,total_error_median,total_error_min,total_error_max,total_error_count
T2,0.993,0.172,0.92,0.87,1.19,3,1.227,0.59,0.98,0.8,1.9,3,1.0,0.46,1.23,0.47,1.3,3,1.931,0.485,1.822,1.509,2.461,3
T3L,0.453,0.405,0.58,0.0,0.78,3,0.963,0.385,0.89,0.62,1.38,3,0.727,0.499,0.92,0.16,1.1,3,1.338,0.608,1.616,0.64,1.757,3
T3R,0.81,0.294,0.98,0.47,0.98,3,0.777,0.33,0.87,0.41,1.05,3,0.62,0.413,0.5,0.28,1.08,3,1.301,0.542,1.521,0.684,1.698,3
T4,0.653,0.236,0.63,0.43,0.9,3,1.437,0.49,1.45,0.94,1.92,3,0.627,0.613,0.48,0.1,1.3,3,1.726,0.727,1.652,1.039,2.487,3
T5,0.437,0.205,0.55,0.2,0.56,3,0.947,0.771,0.9,0.2,1.74,3,0.733,0.423,0.68,0.34,1.18,3,1.341,0.745,1.113,0.736,2.173,3
