target_id,side,error_x,error_y,error_z,total_error
T2,Left,0.14055445761538674,0.48175604707039105,0.3758545818087983,0.3962188047979383
T3L,Left,0.33079029946814076,0.3145720196641073,0.407376429798725,0.49648238720145443
T3R,Right,0.24041630560342614,0.26948510575210316,0.33744135292916705,0.44239773190422316
T4,Right,0.19258475767539054,0.400194397206602,0.5007549855523713,0.593741550464597
T5,Right,0.16739839372652962,0.6295677529508286,0.34499597421161626,0.6082173672731385
